,code,name
0,adin,Адинг АД  Скопје
1,alk,Алкалоид АД Скопје
2,alkb,Алкалоид Берово
3,ambr,АМ Брокер АД Скопје
4,ameh,Агромеханика АД Скопје
5,aptk,Ангропромет Тиквешанка АД Кавадарци
6,atpp,АТП Пролетер Крива Паланка
7,aumk,Аутомакедонија АД Скопје
8,bana,Рудници Бањани АД Скопје
9,bgor,Кристал 1923 АД Велес
10,bikf,Текстил Елма АД Прилеп
11,bim,БИМ АД Свети Николе
12,bltu,Благој Туфанов АД Радовиш - долгорочно суспендирано од котација
13,cbng,Црвени брегови Неготино
14,cdhv,Централен депозитар за хартии од вредност АД Скопј
15,cevi,ФЗЦ 11-ти ОКТОМВРИ АД Куманово
16,ckb,Централна кооперативна банка АД Скопје
17,ckbko,Централна кооперативна банка АД Скопје
18,deba,Дебарски Бањи –Цапа АД  Дебар
19,dimi,Димко Митрев АД Велес
20,edst,Единство Струга
21,elma,Елмар Штип
22,elnc,Еленица Струмица
23,ener,Енергомонт Скопје
24,ensa,Флекс брокер АД Скопје
25,euha,Еурохаус АД Скопје
26,eumk,Еуромак брокер АД Скопје
27,evro,Европа АД Скопје
28,fakm,ФАКОМ АД Скопје
29,fers,Фершпед АД Скопје
30,fktl,ФК Струга-Трим-Лум АД Струга
31,frot,Фротирка компани АД Делчево
32,fubt,Фустеларко Борец АД Битола
33,gale,Галеб Охрид
34,gdkm,ЗИК Градиште Куманово
35,geck,Герас Цунев Конфекција АД Струмица
36,gect,Герас Цунев Трговија АД Струмица
37,gims,Градежен институт Македонија АД  Скопје
38,grdn,Градинар АД Охрид
39,grnt,Гранит АД Скопје
40,grsn,Градинар Свети Николе
41,grzd,Грозд АД Струмица
42,gtc,ГТЦ АД Скопје
43,gtrg,Гетро Гостивар
44,ijug,Институт за заварув. Југ Скопје
45,inb,Шпаркасе банка Македонија АД Скопје
46,indi,Инекс Дрим АД Струга
47,inek,Инекс АД Горица Охрид
48,inho,Интернешнел Хотелс АД Скопје
49,inov,Иново Брокер АД Скопје
50,inpr,Интерпромет АД Тетово
51,intp,Капитал Банка АД Скопје
52,jako,Јавор Консалтинг Битола
53,juli,Палпласт АД Куманово
54,jusk,Југотутун Скопје
55,karo,Караорман Скопје
56,kdfo,НЛБ Фондови АД Скопје
57,kjubi,Македонија осигурување АД Скопје - Виена Иншуренс Груп
58,kkfi,МКК Еуроникел 2005 АД Кавадарци
59,kkst,КК Струмица 2022 АД Струмица
60,klst,Кланица со ладилник АД Струмица
61,kmb,Комерцијална банка АД Скопје
62,kmpr,Комунапроект Тетово
63,komu,ДС Смитх АД Скопје
64,konf,Конзервна фабрика Струмица
65,konz,Фруктал Мак АД Скопје
66,korz,ЈАВОР Стоковна куќа КОРЗО АД Битола
67,kpss,Фабрика Карпош АД Скопје
68,kult,Култура Скопје
69,kvas,Квасара АД Битола
70,lajo,Лајон Инс АД Скопје
71,lhnd,Лихнида Охрид
72,loto,Лотарија на Македонија АД Скопје
73,lozp,Пелистерка АД Скопје
74,magp,ФК Македонија Ѓорче Петров
75,makp,Макпромет АД Штип
76,maks,Макотекс АД Скопје
77,mb,Македонска берза АД Скопје
78,merm,Мермерен комбинат АД Прилеп
79,mksd,Макошпед АД Скопје
80,mlkr,Млекара Битола
81,moda,Мода АД Свети Николе
82,mpol,Хотели Метропол Охрид
83,mpt,Макпетрол АД Скопје
84,mpte,АД Макпетрол-Теас Скопје
85,mtur,Македонијатурист АД Скопје
86,mzhe,Вабтек МЗТ АД Скопје
87,mzpu,МЗТ Пумпи АД Скопје
88,neme,Неметали Огражден АД Струмица
89,nosk,Нова Стоковна куќа АД Струмица
90,obpp,Полиса плус Скопје
91,oilk,ОИЛКО КДА Скопје
92,okta,ОКТА АД Скопје
93,omos,Вега осигурување АД Скопје
94,opfo,Опфолио АД Скопје
95,optk,Очна оптика Геталдус Скопје
96,oran,Оранжерии Хамзали Струмица
97,ospo,Осигурителна полиса АД Скопје
98,otek,Отекс Охрид
99,pelk,Пелагонија комерц Битола
100,pggv,Пелагонија Гостивар
101,pkb,Пекабеско АД Кадино Илинден
102,popk,Попова Кула АД Демир Капија
103,ppiv,Прилепска пиварница АД Прилеп
104,prod,ОП Просветно Дело Скопје
105,prot,Протектор АД Прилеп
106,ptrs,Роман АД Прилеп
107,rade,Раде Кончар- Апаратна техника АД Скопје
108,repl,Реплек АД Скопје
109,rimi,РИМИ АД Штип
110,rins,Реинг АД Скопје
111,rzek,РЖ Економика АД Скопје
112,rzit,РЖ Интер-Трансшпед АД Скопје
113,rziz,РЖ Инжинеринг Скопје
114,rzle,АрцелорМиттал (ХРМ) АД Скопје - долгорочно суспендирано од котација
115,rzlv,Либерти АД Скопје
116,rztk,РЖ Техничка Контрола АД Скопје
117,rzug,Уготур АД Скопје
118,rzus,РЖ Услуги АД Скопје
119,sbt,Стопанска банка АД Битола
120,sdom,Современ дом АД Прилеп
121,sil,Силекс АД Кратово
122,skon,Индустријал Струма АД Струмица
123,skp,Пивара Скопје АД Скопје
124,slav,Славеј  АД Скопје
125,snbt,СН Осигурителен брокер АД Битола
126,snbto,СН Осигурителен Брокер АД Битола
127,soln,Солун
128,spaz,Скопски Пазар АД Скопје
129,spazp,Скопски Пазар АД Скопје
130,spol,Струмичко поле с. Василево
131,sspr,Сигурносно стакло АД Прилеп
132,stb,Стопанска банка АД Скопје
133,stbp,Стопанска банка АД Скопје
134,stil,Макстил АД Скопје
135,stok,Стокопромет АД Скопје
136,tajm,Тајмиште АД Кичево - долгорочно суспендирано од котација
137,tbko,Сава Табак Осигурување Скопје
138,teal,ТЕАЛ АД  Тетово
139,tehn,Технокомерц АД Скопје
140,tel,Македонски Телеком АД – Скопје
141,tete,Тетекс АД Тетово
142,tiga,Тигар Крива Паланка
143,tikv,ГД-ТИКВЕШ АД Кавадарци
144,tkpr,Тутунски комбинат АД Прилеп
145,tkvs,ВВ Тиквеш АД Кавадарци
146,tnb,НЛБ Банка АД Скопје
147,trdb,Трудбеник АД Охрид - долгорочно суспендирано од котација
148,trps,Патнички сообраќај Транскоп АД Битола
149,trub,Факултетско земјоделско стопанство с.Трубарево
150,tsmp,Трготекстил Малопродажба АД Скопје
151,tszs,Трготекстил заед. служ. Скопје
152,ttk,ТТК Банка АД Скопје
153,uni,УНИ Банка АД Скопје
154,usje,Цементарница УСЈЕ АД Скопје
155,varg,АД Вардар Градско
156,vfpm,ВФП МЕНАЏМЕНТ АД Скопје
157,vita,Витаминка АД Прилеп
158,vros,Триглав Осигурување АД Скопје
159,vsc,Ветеринарно сточарски центар АД Куманово
160,vtks,Ветекс АД Велес
161,zas,ЖАС АД Скопје
162,zilu,Жито Лукс АД Скопје
163,zilup,Жито Лукс АД Скопје
164,zims,ЗИМ СКОПЈЕ АД Скопје
165,zkar,Жито Караорман АД Кичево
166,zpko,ЗК Пелагонија АД Битола
167,zpog,Жито Полог АД Тетово
168,zsil,ЗС Илинден Скопје
169,zuas,ЗУАС АД Скопје
